"ID","Body_A","Body_L","Body_H","Eye_A","Gape_W","Head_W","InterEye_W","Leg1st_L","Leg3rd_L","InterLeg_W","Thorax_W","Mentum_L"
"G.11.30",52.4115541666667,14.2054427083333,3.65858229166667,0.779672916666667,3.07514895833333,4.40903541666667,2.70957395833333,4.550340625,8.34563958333333,3.190696875,3.74487395833333,2.376809375
"G.11.31",78.4093157894737,17.1305438596491,3.95568421052632,0.561482456140351,3.73663157894737,5.10006140350877,3.34394736842105,6.23147368421053,9.74478070175439,3.94897368421053,4.59514035087719,2.81858771929825
"G.11.32",48.1515099502488,13.5889651741294,3.30011890547264,0.556388059701493,3.04686417910448,4.45997611940299,2.9907144278607,5.03798308457711,8.99738208955224,2.98399950248756,3.43692139303483,2.24227263681592
"G.11.33",56.0318888888889,14.5307345679012,3.33902469135802,0.5055,3.10108641975309,4.55528395061728,3.11046913580247,5.40064814814815,9.22501851851852,3.09746296296296,3.66497530864198,2.29268518518519
"G.11.34",53.6782380952381,15.092380952381,2.93165238095238,0.412238095238095,2.80790952380952,4.18688571428571,2.8923,5.07168095238095,8.27894761904762,2.68931904761905,3.43571904761905,2.17297142857143
"G.11.36",67.2735555555555,16.0436296296296,3.70844444444444,0.760444444444444,3.6097037037037,5.18490740740741,3.24733333333333,6.05751851851852,9.58268518518519,3.5222962962963,4.11481481481481,2.85198148148148
"G.11.39",58.159408974359,15.0599391025641,3.27177756410256,0.516970512820513,3.12706282051282,4.47202371794872,2.95471923076923,5.10346538461538,8.21912820512821,3.09103397435897,3.80071602564103,2.43215192307692
"G.11.44",36.7675722222222,12.4272222222222,2.17810555555556,0.294688888888889,2.19725555555556,3.62958333333333,2.64961666666667,4.10372222222222,6.76101111111111,1.87766111111111,2.72602777777778,1.81705
"G.12.6",54.9062,13.645875,4.48178333333333,0.790225,3.59190833333333,4.75807083333333,2.8293,4.58294166666667,9.4826875,4.16161666666667,4.36855,2.4246125
"G.12.7",65.4019722222222,16.8653333333333,4.65352777777778,0.371277777777778,3.43138888888889,4.47775,2.986,6.08388888888889,8.88613888888889,3.97963888888889,4.42188888888889,2.34238888888889
"G.12.8",29.8835916666667,10.390125,2.88654166666667,0.47355,2.901725,3.92593333333333,2.47751666666667,4.126625,7.4227,2.55870833333333,2.83240833333333,2.03846666666667
"G.12.9",60.4332222222222,15.5293333333333,3.56833333333333,0.897888888888889,3.53005555555556,5.19688888888889,3.0895,5.89672222222222,9.03205555555556,3.25594444444444,3.83866666666667,2.94488888888889
"G.12.18",59.3814823529412,15.2578823529412,3.54172254901961,0.567447058823529,3.35972254901961,4.7067431372549,3.10170882352941,5.52525392156863,9.16439705882353,3.31638921568627,3.82362058823529,2.55219411764706
"G.12.19",63.7074958333333,16.0371979166667,3.32909375,0.781925,3.35419583333333,4.98000625,3.01317708333333,5.73045625,8.21941458333333,3.0940625,3.90490208333333,2.8812625
